Pos,No.,Country,Name,Team,Engine,Chassis,unformatted_time,Time,Round1,Round2,Round3,Round,F1,Indy,Type,Races,Homeground
3,28,US,Ryan Hunter-Reay,Andretti Autosport,Honda,Dallara,01:46.3,106.3,0,0,1,3,0,1,Indy,194,1
11,19,US,Santino Ferrucci,Dale Coyne Racing,Honda,Dallara,01:46.6,106.6,1,0,0,1,0,1,Indy,6,1
11,19,US,Santino Ferrucci,Dale Coyne Racing,Honda,Dallara,01:47.4,107.4,0,1,0,2,0,1,Indy,6,1
6,9,New Zealand,Scott Dixon,Chip Ganassi Racing,Honda,Dallara,01:46.2,106.2,1,0,0,1,0,1,Indy,267,0
6,9,New Zealand,Scott Dixon,Chip Ganassi Racing,Honda,Dallara,01:46.3,106.3,0,1,0,2,0,1,Indy,267,0
6,9,New Zealand,Scott Dixon,Chip Ganassi Racing,Honda,Dallara,01:46.9,106.9,0,0,1,3,0,1,Indy,267,0
17,18,France,Sébastien Bourdais,Dale Coyne Racing,Honda,Dallara,01:47.1,107.1,1,0,0,1,0,1,Indy,118,0
22,22,France,Simon Pagenaud,Team Penske,Chevrolet,Dallara,01:48.9,108.9,1,0,0,1,0,1,Indy,123,0
19,21,US,Spencer Pigot,Ed Carpenter Racing,Chevrolet,Dallara,01:48.5,108.5,1,0,0,1,0,1,Indy,41,1
14,30,Japan,Takuma Sato,Rahal Letterman Lanigan Racing,Honda,Dallara,01:47.7,107.7,1,0,0,1,0,1,Indy,154,0
24,14,Brazil,Tony Kanaan,AJ Foyt Enterprises,Chevrolet,Dallara,01:50.1,110.1,1,0,0,1,0,1,Indy,269,0
1,12,Australia,Will Power,Team Penske,Chevrolet,Dallara,01:46.4,106.4,1,0,0,1,0,1,Indy,178,0
1,12,Australia,Will Power,Team Penske,Chevrolet,Dallara,01:46.0,106,0,1,0,2,0,1,Indy,178,0
1,12,Australia,Will Power,Team Penske,Chevrolet,Dallara,01:46.0,106,0,0,1,3,0,1,Indy,178,0
9,26,US,Zach Veach,Andretti Autosport,Honda,Dallara,01:46.5,106.5,1,0,0,1,0,1,Indy,21,1
9,26,US,Zach Veach,Andretti Autosport,Honda,Dallara,01:46.5,106.5,0,1,0,2,0,1,Indy,21,1
